position,age,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempts_per_game,three_point_field_goals_per_game,three_point_field_goals_attempts_per_game,two_point_field_goals_per_game,two_point_field_goals_attempts_per_game,free_throws_per_game,free_throws_attempts_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
PG,27,73,8,18.3,2.2,5.9,1.6,4.6,0.6,1.3,1.3,1.8,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4
PF,28,63,63,35.7,6.9,14.5,2.3,5.7,4.6,8.8,4.4,5.4,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5
PF,23,1,0,35,6,12,2,5,4,7,2,2,3,6,9,7,0,1,4,5,16
SG,23,35,1,9.9,1.5,3.6,1.3,3,0.3,0.6,0.1,0.1,0.2,1.1,1.3,0.6,0.2,0,0.3,0.9,4.4
SG,35,11,0,12.5,2,4.5,1.5,3.4,0.5,1.1,0.1,0.1,0.3,1,1.3,0.5,0.5,0.3,0.9,1.5,5.5
PF,32,73,73,31.5,3.4,6.5,0.5,1.8,2.9,4.7,1.1,1.5,0.9,6.3,7.2,6.8,1,0.8,2.8,3.1,8.5
SG,20,76,76,34.2,7.4,17.9,2.5,7.3,5,10.6,4.8,6.1,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1
PF,32,57,1,14,2.4,4.4,0.7,1.9,1.6,2.5,0.9,1.2,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4
SF,29,32,1,15,1.9,3.4,0.4,1.1,1.5,2.3,0.9,1.4,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2
PF,36,56,4,19.5,2.9,5.9,0.5,1.9,2.3,4,1.6,2.1,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8
SG,22,60,21,25.7,3.4,6.4,1.1,2.8,2.3,3.6,1.1,1.6,0.9,2.1,3,1.7,0.7,0.1,1.2,2.6,9.1
SF,19,72,12,19.5,3.4,7.4,1.4,3.6,2,3.8,0.6,0.7,0.5,1.6,2.1,1,0.6,0.2,0.6,1.2,8.9
C,33,41,16,13.9,1.5,3.2,0.6,1.6,1,1.6,0.5,0.8,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1
SG,22,71,66,29.9,4,8.5,2.2,5.7,1.8,2.7,1.1,1.4,0.7,2.5,3.2,2.1,0.7,0.4,1,2.5,11.3
PF,24,63,9,23.3,4.5,9.3,0.8,2.5,3.7,6.7,1.4,1.9,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2
PG,22,56,56,33.6,7.4,15,2.9,7.2,4.5,7.8,3.1,3.6,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7
SF,21,9,0,9.2,1,3.1,0.3,1.7,0.7,1.4,0.8,1,0.3,1,1.3,1.2,0.1,0,0.8,0.7,3.1
SG,21,47,3,16,2.2,5,0.9,2.5,1.3,2.6,1.2,1.6,0.4,1.5,1.9,1.1,0.6,0.2,0.9,1.1,6.4
SF,30,71,45,30.3,4.8,11.9,3,7.7,1.8,4.2,1.8,2.3,0.3,3.2,3.5,1.8,0.7,0.2,0.8,1.7,14.4
PG,33,58,58,36.8,6.4,14.5,2.8,7.2,3.6,7.3,5.4,6.2,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21
SG,20,48,5,14.8,3,6.9,1.3,3.3,1.7,3.7,1.4,1.6,0.2,1.6,1.9,1.4,0.4,0.1,1,1.3,8.8
PF,22,9,0,5.3,0.9,1.8,0.3,1,0.6,0.8,0.1,0.1,0.3,0.4,0.8,0.4,0,0.1,0,0.3,2.2
C,29,57,7,11.9,2.2,3.7,0,0.1,2.2,3.6,1.2,1.8,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6
SG,28,48,42,24.7,2.9,6.4,2,4.5,0.9,1.9,0.6,0.6,0.4,1.6,2,1.2,0.9,0.3,0.6,1.9,8.3
SF,31,74,33,20.6,2.7,5.9,1.9,4.5,0.8,1.4,0.2,0.4,0.3,1.9,2.2,1.4,0.5,0.2,0.6,1.9,7.6
SG,25,34,0,13.4,1.4,3.1,0.5,1.3,0.9,1.9,0.9,1.2,0.8,1.2,2.1,0.5,0.5,0.1,0.6,1.6,4.1
SF,30,74,74,32.9,5.7,11.4,1.7,4.4,4,7,1.5,1.7,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2,14.7
SG,29,5,0,24,3,7.2,0.6,2,2.4,5.2,2.2,3,0.2,4.2,4.4,6,2.2,0.4,1.2,2.4,8.8
SF,27,76,52,32.3,3.6,6.8,0.8,2.2,2.8,4.7,1.7,2.3,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8
C,24,82,8,19.8,2.1,4,0.1,0.5,2,3.5,0.6,0.9,2.5,4,6.5,1.2,0.6,0.8,0.8,2.6,5
C,42,7,1,10.1,1.4,4.1,0.4,1.3,1,2.9,0.6,0.7,0.6,1,1.6,0,0.1,0.3,0.1,1.6,3.9
SF,25,80,8,16.1,2.3,5,1.8,4.2,0.5,0.8,0.2,0.2,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4
C,22,47,2,13,1.8,3.3,0.1,0.6,1.8,2.7,1.2,1.8,0.8,2,2.8,0.7,0.4,0.4,0.7,1.4,5
PG,21,76,56,28.3,4,10.7,1.1,3.8,3,7,1.2,1.5,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3
SF,32,50,50,31.5,5.5,11.6,1,3.2,4.5,8.4,2.6,3.2,0.7,3.6,4.3,4.1,0.8,0.2,2,1.4,14.7
PF,27,42,10,14.6,1.1,2.7,0.4,1.6,0.7,1.1,0.2,0.4,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1,2.9
C,28,38,2,12.1,2.3,4.4,0.1,0.3,2.3,4.2,2.1,2.7,1.5,3.2,4.7,0.9,0.4,0.3,1,1.7,6.9
SG,23,67,67,34.9,7.3,16.6,3,8,4.2,8.5,2.5,2.7,0.4,5,5.4,4.2,0.8,0.2,2.4,1.5,20.1
SF,30,80,73,31,5.9,13,3.6,8.5,2.3,4.5,1.3,1.6,0.8,4.2,5,2.8,1.2,0.3,1.7,2,16.8
PF,26,54,11,17.9,1.7,4,0.7,2,1,2,0.2,0.5,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4
SF,27,5,0,1.8,0.4,0.8,0.2,0.6,0.2,0.2,0,0,0,0.6,0.6,0,0,0,0,0.2,1
PG,26,63,6,13.4,1.5,3.5,0.6,1.4,0.9,2.1,0.4,0.5,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9
PG,32,67,65,32.6,7.3,15.3,2.4,6.1,5,9.1,2.3,2.6,1.2,3.9,5.1,7.4,1.2,0.4,2.9,1.7,19.3
SF,33,46,2,15.3,1.7,4.4,1,3.1,0.7,1.3,0.1,0.2,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5
C,29,42,1,8.3,1.3,2.1,0.1,0.2,1.2,1.9,0.4,0.5,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1
C,36,63,63,30.5,3.6,7.6,2.3,5.2,1.3,2.4,0.2,0.3,1.2,5,6.2,3,0.5,1,0.6,1.9,9.8
SG,22,65,20,20.2,4,9.4,0.9,3.1,3.1,6.3,1.9,2.6,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7
SF,29,56,5,14.4,1.7,3.5,0.7,2,1,1.6,0.8,1.1,0.2,1.5,1.7,0.8,0.3,0.2,0.5,1.2,4.8
SF,20,51,4,15.9,1.3,3.6,0.9,2.7,0.4,0.9,0.3,0.4,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8
PG,23,5,0,5.6,0.4,1.8,0.4,1.6,0,0.2,0.6,0.6,0,0,0,0.6,0,0,0.2,0.2,1.8
SG,24,75,75,29.4,5.6,11.5,2.7,6.8,2.9,4.7,1.3,1.7,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2
C,24,7,0,13.6,2.1,3.6,0.9,1.7,1.3,1.9,2.1,2.3,0.9,2.1,3,1.4,0.4,0.6,0.7,2.1,7.3
SF,25,67,67,31.7,5.7,12.3,1.5,4.3,4.2,8,2.6,3.1,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3,15.4
PG,22,56,1,19.4,4.1,10.2,2.1,5.6,2,4.6,1.5,1.8,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8
C,33,16,0,11.6,1.6,3.4,0.4,1.1,1.3,2.3,0.5,0.8,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1
PF,39,8,0,14.1,0.9,1.9,0.1,1.1,0.8,0.8,0.3,0.4,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1
SF,35,46,0,22.7,2.3,5.4,1.8,4.4,0.5,1,0.4,0.5,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9
SF,25,45,45,34.2,9,18.6,1.4,3.6,7.6,14.9,5.3,6,0.5,5,5.5,5.8,0.7,0.4,3.3,2.6,24.7
PF,25,11,0,11.3,2,4.8,0.5,1.4,1.5,3.5,0.5,0.8,1.4,2.6,4,0.5,1.3,0.4,0.4,0.5,5
SG,20,74,73,31.1,5.5,13.3,1.6,4.7,3.9,8.6,3.6,4.8,1,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3
PG,24,1,0,5,0,3,0,1,0,2,0,0,1,1,2,1,0,0,0,0,0
C,21,63,12,16.5,2.8,5,0,0.2,2.8,4.8,1.5,2.3,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2
C,23,63,63,28.4,6.6,13,1.6,4.5,5,8.6,3.8,4.9,1.7,5,6.8,1,1,3,1.7,3.6,18.6
SF,27,23,0,4.7,0.3,1.2,0.2,0.9,0.1,0.3,0,0.1,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9
PG,24,9,0,15,2.1,4.7,0.1,1.3,2,3.3,1.9,2.4,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,6.2
PG,32,68,40,24.4,3.9,9.4,1.4,4.2,2.5,5.2,1,1.1,0.4,1.8,2.1,3.4,0.7,0.1,1.7,1.7,10.2
PF,38,55,54,35.5,11.1,22.2,2.2,6.9,8.9,15.3,4.6,5.9,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9
SG,25,45,2,18.1,2.6,5.4,0.8,2,1.8,3.4,0.8,0.9,0.2,1.6,1.7,3,0.5,0.1,0.7,1.4,6.9
SG,23,73,10,19.1,3.1,7,2.2,5.4,0.9,1.6,1.1,1.4,0.4,2,2.4,1.2,0.7,0.1,0.5,1.4,9.5
PF,26,4,0,7.5,0.8,1.5,0,0.5,0.8,1,0.3,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8
PF,26,42,41,28.5,5.3,11.3,2.5,6.1,2.9,5.2,2.4,2.9,0.8,3.6,4.4,1.9,1.2,0.3,0.9,2,15.5
SF,21,70,6,14.9,2.3,4.6,0.4,1.5,1.8,3.1,0.7,1.1,0.7,3.3,4,1.2,0.5,0.5,0.6,1.6,5.6
PF,35,18,1,9,1.2,2.7,0.2,0.8,1.1,1.9,0.2,0.4,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8,2.8
SF,23,63,63,32.7,8,17.7,2.1,6.5,5.9,11.2,3.9,5.2,0.9,4.2,5,2.9,0.7,0.2,2.1,2,22
SG,20,40,0,10.4,1.7,4.5,0.7,2,1,2.4,0.7,1,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7
SF,26,30,0,15.6,2.2,4.1,0.6,1.3,1.6,2.7,0.9,1.3,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8
C,27,69,69,33.7,9.4,14.8,0.8,2.2,8.5,12.7,4.9,6,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5
PG,25,7,0,8,0.9,2.1,0.4,0.9,0.4,1.3,0.7,1.1,0.1,0.6,0.7,0.9,0.3,0,0.3,0.3,2.9
C,27,41,1,11.6,1.3,2.1,0.2,0.4,1.1,1.7,0.5,0.7,1,2,3,0.4,0.2,0.5,0.6,1.3,3.5
PF,25,64,0,14,1.8,3.6,0.4,1.3,1.4,2.3,1,1.3,0.9,1.5,2.4,0.5,0.5,0.6,0.4,1.3,5
PF,24,66,66,29.6,3.6,7.6,0.8,2.5,2.7,5.1,1.9,2.4,1.5,2.6,4.1,2.5,1.6,0.6,1.3,3.2,9.8
C,22,46,0,12,1.5,2.6,0.1,0.4,1.4,2.2,0.4,0.6,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,3.4
PG,23,68,65,29.2,5,10.9,0.7,2.3,4.4,8.6,2.2,2.5,0.8,2.8,3.6,6.6,1.3,0.1,1.6,1.4,12.9
PG,26,80,22,24.3,3.9,8.9,1.5,4.1,2.4,4.8,1,1.3,0.4,2.2,2.5,5.2,1,0.1,0.9,0.4,10.3
C,34,39,8,15,2.3,2.9,0,0,2.2,2.9,0.6,1.2,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1
PG,31,62,2,19.8,2.4,5.7,1.1,2.9,1.3,2.8,0.9,1.2,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4,6.9
PF,19,15,8,13.6,1.9,4.6,0.5,2.3,1.3,2.3,1.2,1.3,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5
SG,21,18,0,12.9,1.9,5.8,0.8,3.5,1.1,2.3,0.1,0.2,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,4.8
PF,25,4,0,9,0.5,1.8,0,0.8,0.5,1,0.5,0.5,1.3,1.3,2.5,0,0.5,0,0.3,0.8,1.5
C,29,36,0,6.5,0.9,1.8,0.4,0.9,0.5,0.8,0.4,0.4,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,2.5
SG,19,3,0,2.7,0.3,1.3,0.3,1.3,0,0,0,0,0,0.7,0.7,0,0,0,0,0,1
SG,26,59,14,22.3,3.2,6.5,2.3,4.6,0.9,1.9,0.6,0.7,0.3,2.4,2.7,1.5,0.5,0.1,0.8,1.4,9.3
C,21,74,40,23,4,5.6,0,0,4,5.6,1.1,2.1,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2
SF,25,3,0,3,0.3,0.3,0,0,0.3,0.3,0.7,0.7,0,0.3,0.3,0,0,0,0,0,1.3
PF,23,1,0,29,8,13,4,8,4,5,0,1,2,2,4,2,1,0,2,4,20
SF,23,74,45,28.3,3.9,7.9,2.2,5.2,1.7,2.7,1,1.2,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1
PF,31,37,5,25.1,2.1,4.6,1.1,3,1,1.5,0.7,1,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9
C,25,38,0,7.7,1.2,2.1,0.2,0.6,1,1.6,1,1.5,0.6,0.9,1.5,0.3,0.3,0.2,0.6,1.1,3.7
C,22,58,19,13.8,1.2,2.6,0,0.2,1.2,2.4,0.6,1,1.4,1.5,2.9,0.5,0.4,1,0.3,2.2,3.1
SF,26,72,23,20.8,1.9,4.4,0.8,2.5,1.1,2,0.4,0.5,0.9,3.4,4.3,1.4,1.1,0.3,0.5,1.6,5.1
SG,25,37,0,9.5,1.3,3,0.5,1.2,0.8,1.8,0.7,1,0.2,1,1.1,0.6,0.3,0.1,0.6,0.5,3.8
C,27,69,0,11.7,1.6,2.5,0,0.2,1.6,2.3,0.5,0.6,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,3.8
PG,22,29,0,5.7,0.5,1.3,0.2,0.7,0.3,0.6,0,0.1,0.2,0.7,0.9,0.6,0.2,0,0.2,0.6,1.2
PF,20,67,16,20.8,3.9,7.4,0.8,2.2,3.1,5.2,1.3,2.1,1,2.4,3.4,1.9,0.6,0.5,1.4,2.3,9.9
PF,27,64,64,35,8,17.8,2.5,7.5,5.5,10.3,2.7,3.7,0.9,6.4,7.2,3.7,0.6,0.5,3,2.3,21.2
SF,25,62,4,19.3,2.4,5.1,1.2,3.2,1.2,1.9,0.7,1,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,6.7
C,27,69,4,14.2,2.6,4.9,0.3,1.2,2.3,3.7,1.1,1.5,1.7,2.3,4.1,1,0.2,0.4,0.9,1.8,6.6
SG,23,43,21,19.6,2.8,6,0.4,1.4,2.4,4.6,0.9,1.3,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6,6.9
PF,21,35,0,11.8,1.1,2.7,0.7,2,0.4,0.7,0.2,0.3,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,3
SG,27,77,77,35.9,8.7,18,2.6,7.1,6.1,11,4.7,5.6,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,24.8
SG,22,15,0,7.2,1.5,2.9,0.7,1.7,0.8,1.3,0.1,0.5,0.4,1,1.4,0.1,0.1,0,0.2,0.7,3.7
SG,30,74,5,20.4,2.7,6.1,1.5,3.3,1.2,2.8,1.3,1.4,0.5,2.5,3,1.3,0.4,0.1,1.1,1.6,8.2
PG,23,25,1,14.9,2,4.8,0.4,1.2,1.5,3.6,1.7,2.3,0.5,1.3,1.8,2.7,0.8,0,1,1.3,6
C,29,26,2,6.2,0.6,1.2,0,0.1,0.6,1.1,0.4,0.6,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7
SF,31,52,50,33.6,8.6,16.8,2,4.8,6.6,11.9,4.7,5.4,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8
C,30,9,2,12.7,1.6,3.2,0.8,2,0.8,1.2,0.9,1,1.3,2.4,3.8,0.1,0.2,0,0.7,1.8,4.8
SG,28,74,30,30.2,4.3,10,1.7,4.4,2.6,5.6,1.8,2.4,0.7,3.1,3.8,3.9,1,0.3,1.6,2.3,12.1
PG,21,25,0,9.4,1.6,3.5,0.6,1.4,1,2.2,0.8,0.9,0.2,1.1,1.3,0.9,0.4,0.1,0.4,1,4.6
PG,32,58,58,36.3,9.6,20.7,4.2,11.3,5.4,9.4,8.8,9.6,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9,32.2
SF,22,54,4,18.1,2.5,5.6,1.1,2.9,1.4,2.7,0.6,0.9,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6
PF,24,52,22,23.1,2.3,5.5,1.4,3.9,0.9,1.6,0.6,0.8,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2,6.7
PF,20,24,1,7.3,2,3.9,0.3,0.7,1.8,3.2,0.7,1.1,0.8,1.3,2.1,0.8,0.2,0.1,0.5,1.2,5
C,26,82,70,23.9,3,4.7,0,0,3,4.7,1.1,1.9,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7
C,34,78,78,30.4,6.1,11.5,1.7,4.7,4.4,6.9,1.9,2.4,2,4.7,6.7,1.3,0.5,2.5,1.4,2.6,15.9
C,34,37,2,8.1,1.3,2,0.1,0.1,1.2,1.9,0.4,0.5,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3
PF,34,62,20,20,2.7,6.8,1.6,4.8,1.1,2.1,1.3,1.5,1,5.5,6.4,1.9,0.3,0.2,1.1,1.6,8.2
PG,36,55,44,31.2,3.6,8.8,1.9,5.6,1.6,3.2,2.1,2.5,0.8,3.3,4.1,5.1,1,0.4,1.9,2.6,11.2
PF,27,74,0,16.9,2.5,5.5,1.2,3.2,1.4,2.3,1.4,1.7,0.9,3.1,4.1,0.9,0.4,0.4,0.9,1.3,7.6
PG,21,44,7,19.4,2.3,5.8,0.6,2.2,1.7,3.6,1.4,1.7,0.3,2.5,2.8,3.5,0.8,0.3,1.3,1.4,6.7
C,23,43,7,15.3,2.3,5.3,0.7,2.3,1.6,3,0.9,1.3,1.6,2.7,4.3,1.4,0.3,0.3,0.8,1.2,6.1
SG,26,81,36,23.1,3.4,6.5,1,2.4,2.4,4,1.1,1.5,1,2.5,3.4,2.3,0.5,0.3,1,1.8,8.8
PG,21,67,5,17.7,2.9,7.5,1.2,3.8,1.7,3.6,0.6,0.8,0.4,1.9,2.3,1.8,0.6,0.2,0.9,1.5,7.7
C,34,31,0,5.5,1.3,1.9,0,0,1.3,1.9,0.6,0.9,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,3.3
PF,25,66,66,34.4,8.7,17.3,3,7.7,5.6,9.6,5.3,6,2,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6
SF,25,77,21,23.3,3.2,7.4,0.9,2.8,2.4,4.6,1.8,2.3,0.6,3,3.6,2.5,0.7,0.2,1.3,1.5,9.1
SF,27,71,49,29.3,3.6,7.7,1.2,3.3,2.4,4.4,1.3,1.6,1.2,3.6,4.8,1.6,1,0.4,1.1,2,9.6
SF,27,7,0,19.1,2,5.1,0.4,2,1.6,3.1,0.6,1,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5
SF,22,82,49,28,5,8.8,0.8,2.6,4.2,6.1,1.8,2.7,1.5,4,5.5,1.5,0.5,0.4,1.1,1.8,12.7
SG,23,16,0,4.1,0.6,1.4,0.1,0.4,0.5,1,0.1,0.1,0.3,0.4,0.8,0.1,0.1,0,0.1,0.1,1.3
SG,26,54,0,12.7,1.4,3.7,1.2,3.3,0.2,0.4,0.9,1,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8
SG,20,78,17,28.5,5.3,12.2,1.3,4,4,8.2,4.8,5.8,1.1,3,4.1,1.5,0.6,0.2,1.9,2.1,16.7
SF,36,52,0,15.8,1.1,3.1,0.8,2.4,0.4,0.7,0.5,0.5,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4
SG,22,60,41,33.6,7.3,15.2,2.7,6.2,4.7,9.1,3,3.6,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3
PG,25,6,6,31.5,5.7,11.3,2,4.3,3.7,7,2,2.2,0.3,2.8,3.2,8.3,1,0.2,1.7,1.8,15.3
PG,22,64,2,11.9,1.2,3.4,0.6,2.1,0.6,1.3,0.4,0.7,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.5
SG,24,2,0,20.5,4.5,10,2,5.5,2.5,4.5,1.5,2.5,1.5,3.5,5,4.5,0,0,1.5,1.5,12.5
SG,31,75,75,35.3,7.8,17.9,2.8,7.2,5,10.7,2.4,3.2,0.7,3.6,4.4,5.7,0.9,0.5,2.4,2,20.9
PG,30,75,6,20.3,3.8,6.9,0.3,0.8,3.4,6.2,0.8,0.9,0.6,2.5,3.1,5.3,1.1,0.1,1.9,1.4,8.7
SF,22,79,79,30.6,4.7,9.1,1.4,3.4,3.3,5.7,1.3,1.8,1.2,2.7,3.9,1.9,0.9,1,1.4,3.4,12.1
SF,25,80,24,23.9,3.5,7.7,1,2.9,2.6,4.8,1.5,1.7,0.8,3.5,4.3,1.6,1,0.4,1.2,2.6,9.4
SF,31,64,0,20.5,3.7,8.2,1.9,4.7,1.8,3.5,0.8,1.1,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8,10.2
C,35,42,7,8.5,1.9,3,0,0.1,1.9,2.9,0.6,1,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4
SG,20,46,7,17.1,1.7,4.4,0.6,1.7,1.2,2.7,1.3,1.7,0.4,1.6,2,1.2,0.3,0.1,0.9,1,5.3
SG,31,32,12,16.4,1.9,4.8,1.3,3,0.7,1.7,0.6,0.7,0.6,1.7,2.3,0.9,0.5,0,0.3,1.2,5.7
PG,26,43,0,15.8,1.4,3.4,0.6,1.8,0.9,1.6,0.3,0.4,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7
SG,24,77,58,27.9,3.6,8.5,2,5.2,1.6,3.2,0.9,1.1,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1
SG,26,5,0,11.8,1.8,4.4,1,3.6,0.8,0.8,0.4,0.4,0,1.8,1.8,1,0.8,0,0,0.6,5
PF,25,66,0,10.4,2,3.3,0.1,0.6,1.8,2.7,0.8,1.1,0.7,2.3,3,0.6,0.3,0.3,0.5,1.2,4.9
SF,31,33,19,24.3,5.4,12.3,1.5,4.9,3.8,7.4,2.8,3.1,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1
PG,34,40,2,14.2,2.2,5.2,1.2,3.4,0.9,1.9,0.6,0.8,0.2,0.9,1.1,1.4,0.4,0.1,0.8,0.8,6.2
SG,26,76,11,20.6,3.2,6.6,0.7,1.9,2.4,4.7,1.3,1.5,0.5,2,2.5,3.2,0.3,0.2,1.2,1.6,8.4
SF,23,4,0,22.3,1.8,5.8,0.8,3,1,2.8,0,0.3,0.8,3,3.8,1,0.5,1.3,1,2.3,4.3
SF,20,15,0,6.4,1.2,2.4,0.1,0.4,1.1,2,0.5,0.5,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1
PG,24,80,9,18.1,2.3,5,0.8,2.5,1.5,2.5,0.3,0.4,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6
SG,26,68,68,35.8,10,20.6,3.6,9.3,6.4,11.3,4.7,5.4,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3
PF,21,79,79,34.4,6.6,12,0.3,1.3,6.4,10.7,2.6,3.8,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2
PF,23,12,0,7,1,2.3,0.3,0.7,0.8,1.7,0.3,0.3,0.3,1.3,1.7,0.3,0.3,0.3,0.1,0.7,2.6
SF,27,2,0,4,0.5,1,0,0,0.5,1,0,1,1,0,1,0.5,0,0,1,1,1
SG,24,77,0,22.3,4.6,10.3,1.9,5.2,2.8,5.2,2.4,2.7,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5
SG,20,63,3,13,1.7,3.6,0.8,2.1,0.9,1.5,0.6,0.8,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8
SG,28,4,0,5,0.8,2.3,0.3,0.8,0.5,1.5,0,0,0,0.8,0.8,1.3,0,0,0.3,0.5,1.8
SG,21,29,2,5.3,0.6,1.5,0.1,0.6,0.6,0.9,0.1,0.2,0.1,0.5,0.6,0.6,0.3,0.2,0.3,0.4,1.4
PG,23,61,59,31.9,9.3,19.9,1.5,4.9,7.8,15,6.1,8.1,1,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2
